09:48:16 | INFO     | NeuroFocus | Emotion detector initialized
09:48:16 | INFO     | NeuroFocus | PoseDetector: доступен, используется для анализа осанки
09:48:16 | INFO     | NeuroFocus | VideoThread инициализирован
09:48:16 | INFO     | NeuroFocus | Приложение запущено успешно
09:48:20 | INFO     | NeuroFocus | VideoThread: камера запущена
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.36
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=0
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:20 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.30
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=0
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:20 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.26
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=1.5
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:20 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.25
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=1.5
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:20 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.28
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=8.5
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:20 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:20 | DEBUG    | NeuroFocus | Face processed: detected=True, valid=True, ear=0.26
09:48:20 | DEBUG    | NeuroFocus | Fatigue: level=normal, score=8.5
09:48:20 | DEBUG    | NeuroFocus | Posture: level=bad, bad=True, pose=True
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:48:21 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:48:21 | DEBUG    | NeuroFocus | Face: no landmarks detected
